-2.3884,1.1613,-5.2641,-2.7645,0.0094765,-0.57323,0.53687,-1.3591,-0.29896,0.57798,1.0295,-0.50943
0.39295,1.2608,-3.4188,1.5913,-1.9418,-1.6083,0.90196,-1.155,0.36919,-1.8396,-0.35962,1.2641
-2.901,0.19426,-4.2117,-1.5748,1.392,-0.27588,0.62086,-1.1016,0.49678,3.1995,1.1507,0.0022811
-0.015312,5.332,1.6126,-1.4648,-3.0675,0.86031,0.27511,0.071061,0.38552,2.7179,-2.4009,2.9663
-2.963,0.26745,-5.0134,1.658,2.0495,1.4595,0.52344,2.8558,-0.32303,-0.057868,-0.26485,-0.11766
-2.2349,0.44972,-1.6553,-3.2021,-3.6608,0.99277,-0.35454,0.60272,-0.93116,-0.02637,0.16372,0.91348
-2.6734,0.79338,-5.4793,-2.6297,0.74322,-0.18312,0.37145,0.058727,-0.60019,-1.3989,-0.86973,-0.06801
0.89807,5.5935,2.0233,-0.93578,-0.22232,-0.48264,2.8219,-2.38,0.18077,0.070553,-1.2099,0.020328
-2.3858,0.2375,-2.7754,-0.71735,0.044488,-1.3027,-0.21613,-2.4531,-1.3614,-0.86276,0.40089,0.3807
-3.8036,-0.86706,1.6662,0.30595,-0.36105,0.65591,-0.11556,0.092178,1.848,0.14865,1.057,0.035813
-2.5563,1.1265,-0.32138,-2.7799,-2.8813,-0.045528,0.39642,-0.25668,-1.8282,1.2948,0.95878,-0.79406
-3.9805,-1.5663,1.721,1.0211,-0.36188,1.2355,0.046341,0.27212,0.5067,-0.35822,-0.14755,-0.033553
-2.8467,0.59353,-4.2293,-1.64,0.59396,-1.3278,0.1608,-1.5835,0.60225,2.0946,1.4375,0.10686
-1.1976,0.80168,-3.8528,1.2567,-1.6843,-0.35132,-1.3041,-1.5073,-0.058947,-1.0362,-0.0049693,-0.34859
-4.0031,-0.67163,1.7165,-0.057404,-0.019562,0.22421,-0.16009,0.1192,2.4939,0.51106,1.4476,0.20238
-1.8462,-0.34066,0.55979,-0.49916,1.513,0.29981,-0.64824,-1.316,0.40355,0.054502,0.49163,-0.16632
-2.656,0.81122,-5.5005,-2.7042,0.7244,-0.23478,0.38526,0.046748,-0.6528,-1.418,-0.82994,-0.062549
-2.8759,-0.06861,-1.4844,-3.3937,-2.1208,-0.17086,0.21576,1.2375,-0.65849,-0.82121,-0.31967,-0.52587
-3.2731,-0.10805,-1.8664,-3.8609,-1.4599,0.23586,0.56554,1.7675,-0.45334,-0.74442,-0.63248,-0.6014
-4.0238,-1.4287,1.7856,0.69518,-0.1969,1.003,0.085032,0.23889,0.32381,-0.31432,-0.13776,0.064101
0.15319,2.2979,-5.2403,-0.21138,-2.0053,1.5821,3.7031,-0.51254,0.9246,-0.58078,-1.0298,-0.43299
-1.1538,0.63936,-1.8061,-0.98071,-2.1982,-1.2075,-1.339,-1.0373,-0.7918,-0.64627,-0.067849,-0.60544
-1.8002,-0.021121,-0.58901,-1.0831,-3.8902,-0.75158,-1.1075,0.27691,-0.35449,-0.68227,0.073505,-0.63842
-3.2218,0.010107,-1.7891,-3.844,-1.6912,0.42937,0.74337,1.4862,-0.77359,-0.1987,-0.38653,-0.71833
0.16883,6.0602,0.70183,-1.0692,-0.34045,-0.42475,-2.9768,-0.36334,-0.25199,0.030663,-0.72495,-1.0304
-3.9541,-1.3198,1.7439,0.93511,-0.29065,1.1089,0.0088748,0.32196,0.84787,-0.1626,0.20671,-0.0069182
-3.2731,-0.10805,-1.8664,-3.8609,-1.4599,0.23586,0.56554,1.7675,-0.45334,-0.74442,-0.63248,-0.6014
