4287390;196
7200576;124
7000755;135
3894666;253
4277348;161
4031763;120
16613621;45
6727394;115
5573009;159
6080560;79
10051907;41
1089245;82
11238165;64
1818384;236
9667081;85
14666482;198
9761715;85
5638755;254
8546316;107
6439989;157
9535206;252
13613593;70
10241704;159
5290664;225
12847043;109
5364492;104
12306310;126
2245365;236
5260729;205
8941384;255
7619568;140
9829374;151
4801315;182
12160930;199
10951431;227
11613607;183
806825;85
1916954;99
11438375;97
3638763;251
8809117;171
8675624;69
15281262;181
11340063;187
5597377;210
5330678;147
1760681;185
8723987;142
11771494;147
11820836;224
3773580;182
12076025;27
13457793;138
1543149;61
1729446;156
12172020;153
1608104;47
14235088;91
14978981;69
9197367;231
1878211;14
8689300;81
10278713;156
11726372;122
3392036;48
572620;106
8102842;135
55899;248
9903592;231
9044276;152
7911893;18
4353624;102
13686473;117
2217382;250
16576258;117
15941974;99
8135528;42
3080740;106
4132509;190
5360084;115
12664958;161
9164974;107
7645634;61
4981770;220
14423982;65
16679706;2
8740856;41
770780;117
14950816;116
11366648;240
5766571;166
6003352;233
9188450;55
16105319;36
6457641;234
1438621;42
5745705;247
14535757;99
9909144;104
85819;82
