15281262;254
10368874;199
7895716;64
10241704;201
4488953;130
16576258;165
10194028;71
15927692;147
13686473;122
5370790;10
2996560;61
14423982;122
14614675;104
7606483;162
8340224;88
3681794;41
14950816;26
7291535;183
14184150;163
6141106;219
6457641;207
7519952;112
14235088;79
10278713;250
6108012;127
9667081;81
9161937;109
13066305;101
1865864;137
11366648;137
3996489;30
15956610;45
9761715;188
6453551;225
14666482;77
5330678;217
8135528;164
7739034;177
14276116;95
12172020;83
11726372;98
13084700;113
11340063;134
15652511;80
5745237;239
3383312;134
12857441;244
11544199;207
8054385;154
16372294;24
4801315;99
459958;182
12461202;154
10123807;88
9164974;243
8362700;247
1091460;159
9063429;215
9512170;156
8876018;114
7619568;192
16592948;160
1809805;221
1233224;68
4031763;79
7174311;162
7481518;132
14978981;48
8420820;230
13211784;25
6294337;47
16241516;10
9837354;123
11238165;175
7645634;38
15941974;222
7911893;176
11820836;79
13457793;220
9246595;252
2168787;134
6625944;196
9535206;181
12766222;52
3717883;9
8546316;237
14628752;147
2585310;182
10782711;60
12521145;220
3497756;93
3550542;94
4187902;13
5260729;66
143355;100
13007529;50
1916954;220
6003352;11
14888479;152
5266758;187
