13115767;98
7739034;86
8888883;174
4801315;204
9591438;150
9166691;227
3681794;169
8723987;168
10849631;150
13882066;228
7481518;29
6625944;80
3638763;6
4187902;114
304717;113
7895716;119
2245365;30
2217382;179
2585310;53
14750047;178
1154598;7
16333521;64
6003352;102
13011200;237
5266758;213
12857441;233
15318313;158
1809805;133
9519148;236
8809117;77
2674494;57
12847043;114
14978981;200
15963940;110
4786966;12
7174311;86
12248235;46
1025571;16
8362700;217
13007529;227
14666482;63
6080560;59
12704280;100
7022728;58
8876018;254
10322591;104
806825;28
16241516;16
5926322;167
6453551;143
459958;125
5686171;26
4937072;219
2068172;220
1865864;41
3080740;114
14614675;39
4031763;69
770780;100
143355;72
8935484;89
15281262;82
9903592;152
15956610;225
9761715;37
5370790;21
2996560;49
55899;117
5330678;197
13613593;29
14888479;185
14628752;67
8675624;121
12521145;211
9829374;200
6821554;206
3497756;191
10351988;128
1818384;55
8505711;2
9667081;227
7911893;187
10123807;111
5364492;137
11685024;193
5260729;12
13307627;151
5745705;132
1233224;174
1955687;235
14235088;202
10951431;251
6457641;69
11613607;43
6108012;140
16613621;224
1750743;162
12160930;18
8420820;178
3323387;47
